classname,parent,declared_model,resolved_model,source_file
AK_WoodHndgrd,Inventory_Base,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_WoodHndgrd_Black,AK_WoodHndgrd,,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_WoodHndgrd_Camo,AK_WoodHndgrd,,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AKS74U_Bttstck,Inventory_Base,\DZ\weapons\attachments\support\buttstock_aks.p3d,\DZ\weapons\attachments\support\buttstock_aks.p3d,P:\DZ\weapons\attachments\support\config.cpp
AKS74U_Bttstck_Black,AKS74U_Bttstck,,\DZ\weapons\attachments\support\buttstock_aks.p3d,P:\DZ\weapons\attachments\support\config.cpp
AKS74U_Bttstck_Green,AKS74U_Bttstck,,\DZ\weapons\attachments\support\buttstock_aks.p3d,P:\DZ\weapons\attachments\support\config.cpp
AlarmClock_Blue,AlarmClock_ColorBase,,\dz\gear\tools\AlarmClock.p3d,P:\DZ\gear\tools\config.cpp
AlarmClock_ColorBase,Inventory_Base,\dz\gear\tools\AlarmClock.p3d,\dz\gear\tools\AlarmClock.p3d,P:\DZ\gear\tools\config.cpp
AlarmClock_Green,AlarmClock_ColorBase,,\dz\gear\tools\AlarmClock.p3d,P:\DZ\gear\tools\config.cpp
AlarmClock_Red,AlarmClock_ColorBase,,\dz\gear\tools\AlarmClock.p3d,P:\DZ\gear\tools\config.cpp
AliceBag_Black,AliceBag_ColorBase,,\dz\characters\backpacks\alicebackpack_g.p3d,P:\DZ\characters\backpacks\config.cpp
AliceBag_Camo,AliceBag_ColorBase,,\dz\characters\backpacks\alicebackpack_g.p3d,P:\DZ\characters\backpacks\config.cpp
AliceBag_ColorBase,Clothing,\dz\characters\backpacks\alicebackpack_g.p3d,\dz\characters\backpacks\alicebackpack_g.p3d,P:\DZ\characters\backpacks\config.cpp
AliceBag_FarBubble,AliceBag_Camo,,\dz\characters\backpacks\alicebackpack_g.p3d,P:\DZ\characters\backpacks\config.cpp
AliceBag_Green,AliceBag_ColorBase,,\dz\characters\backpacks\alicebackpack_g.p3d,P:\DZ\characters\backpacks\config.cpp
AliceBag_NearBubble,AliceBag_Green,,\dz\characters\backpacks\alicebackpack_g.p3d,P:\DZ\characters\backpacks\config.cpp
All,,,,P:\DZ\data\config.cpp
AllDrive,CarScript,,,P:\DZ\vehicles\wheeled\config.cpp
AllVehicles,All,,,P:\DZ\data\config.cpp
AmmoBox,Container_Base,\dz\gear\containers\300RoundBox.p3d,\dz\gear\containers\300RoundBox.p3d,P:\DZ\gear\containers\config.cpp
AmmoBox_00buck_10rnd,Box_Base,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_12gaBeanbag_10Rnd,Box_Base,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_12gaRubberSlug_10Rnd,Box_Base,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_12gaSlug_10Rnd,Box_Base,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,\dz\weapons\ammunition\00Buck_10RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_22_50Rnd,Box_Base,\dz\weapons\ammunition\22_50RoundBox.p3d,\dz\weapons\ammunition\22_50RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_308Win_20Rnd,Box_Base,\dz\weapons\ammunition\308Win_20RoundBox.p3d,\dz\weapons\ammunition\308Win_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_308WinTracer_20Rnd,Box_Base,\dz\weapons\ammunition\308Win_20RoundBox.p3d,\dz\weapons\ammunition\308Win_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_357_20Rnd,Box_Base,\dz\weapons\ammunition\357_20RoundBox.p3d,\dz\weapons\ammunition\357_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_380_35rnd,Box_Base,\dz\weapons\ammunition\380auto_35RoundBox.p3d,\dz\weapons\ammunition\380auto_35RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_45ACP_25rnd,Box_Base,\dz\weapons\ammunition\45acp_25rnd_box.p3d,\dz\weapons\ammunition\45acp_25rnd_box.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_545x39_20Rnd,Box_Base,\dz\weapons\ammunition\545x39_20RoundBox.p3d,\dz\weapons\ammunition\545x39_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_545x39Tracer_20Rnd,Box_Base,\dz\weapons\ammunition\545x39_20RoundBox.p3d,\dz\weapons\ammunition\545x39_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_556x45_20Rnd,Box_Base,\dz\weapons\ammunition\556_20RoundBox.p3d,\dz\weapons\ammunition\556_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_556x45Tracer_20Rnd,Box_Base,\dz\weapons\ammunition\556_20RoundBox.p3d,\dz\weapons\ammunition\556_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_762x39_20Rnd,Box_Base,\dz\weapons\ammunition\762x39_20RoundBox.p3d,\dz\weapons\ammunition\762x39_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_762x39Tracer_20Rnd,Box_Base,\dz\weapons\ammunition\762x39_20RoundBox.p3d,\dz\weapons\ammunition\762x39_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_762x54_20Rnd,Box_Base,\dz\weapons\ammunition\762_20RoundBox.p3d,\dz\weapons\ammunition\762_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_762x54Tracer_20Rnd,Box_Base,\dz\weapons\ammunition\762_20RoundBox.p3d,\dz\weapons\ammunition\762_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_9x19_25rnd,Box_Base,\dz\weapons\ammunition\9mm_25rnd_box.p3d,\dz\weapons\ammunition\9mm_25rnd_box.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_9x39_20Rnd,Box_Base,\dz\weapons\ammunition\9x39_20RoundBox.p3d,\dz\weapons\ammunition\9x39_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
AmmoBox_9x39AP_20Rnd,Box_Base,\dz\weapons\ammunition\9x39_20RoundBox.p3d,\dz\weapons\ammunition\9x39_20RoundBox.p3d,P:\DZ\weapons\ammunition\config.cpp
Animal_BosTaurus,AnimalBase,\dz\animals\bos_taurus\bos_taurus.p3d,\dz\animals\bos_taurus\bos_taurus.p3d,P:\DZ\animals\bos_taurus\config.cpp
Animal_BosTaurus_Brown,Animal_BosTaurus,,\dz\animals\bos_taurus\bos_taurus.p3d,P:\DZ\animals\bos_taurus\config.cpp
Animal_BosTaurus_Spotted,Animal_BosTaurus,,\dz\animals\bos_taurus\bos_taurus.p3d,P:\DZ\animals\bos_taurus\config.cpp
Animal_BosTaurus_White,Animal_BosTaurus,,\dz\animals\bos_taurus\bos_taurus.p3d,P:\DZ\animals\bos_taurus\config.cpp
Animal_BosTaurusF,AnimalBase,\dz\animals\bos_taurus_fem\bos_taurus_fem.p3d,\dz\animals\bos_taurus_fem\bos_taurus_fem.p3d,P:\DZ\animals\bos_taurus_fem\config.cpp
Animal_BosTaurusF_Brown,Animal_BosTaurusF,,\dz\animals\bos_taurus_fem\bos_taurus_fem.p3d,P:\DZ\animals\bos_taurus_fem\config.cpp
Animal_BosTaurusF_Spotted,Animal_BosTaurusF,,\dz\animals\bos_taurus_fem\bos_taurus_fem.p3d,P:\DZ\animals\bos_taurus_fem\config.cpp
Animal_BosTaurusF_White,Animal_BosTaurusF,,\dz\animals\bos_taurus_fem\bos_taurus_fem.p3d,P:\DZ\animals\bos_taurus_fem\config.cpp
Animal_CanisLupus,AnimalBase,\DZ\animals\canis_lupus\canis_lupus.p3d,\DZ\animals\canis_lupus\canis_lupus.p3d,P:\DZ\animals\canis_lupus\config.cpp
Animal_CanisLupus_Grey,Animal_CanisLupus,,\DZ\animals\canis_lupus\canis_lupus.p3d,P:\DZ\animals\canis_lupus\config.cpp
Animal_CanisLupus_White,Animal_CanisLupus,,\DZ\animals\canis_lupus\canis_lupus.p3d,P:\DZ\animals\canis_lupus\config.cpp
Animal_CapraHircus,AnimalBase,\dz\animals\capra_hircus\capra_hircus.p3d,\dz\animals\capra_hircus\capra_hircus.p3d,P:\DZ\animals\capra_hircus\config.cpp
Animal_CapraHircus_Black,Animal_CapraHircus,,\dz\animals\capra_hircus\capra_hircus.p3d,P:\DZ\animals\capra_hircus\config.cpp
Animal_CapraHircus_Brown,Animal_CapraHircus,,\dz\animals\capra_hircus\capra_hircus.p3d,P:\DZ\animals\capra_hircus\config.cpp
Animal_CapraHircus_Spooky,Animal_CapraHircus,,\dz\animals\capra_hircus\capra_hircus.p3d,P:\DZ\animals\capra_hircus\config.cpp
Animal_CapraHircus_White,Animal_CapraHircus,,\dz\animals\capra_hircus\capra_hircus.p3d,P:\DZ\animals\capra_hircus\config.cpp
Animal_CapraHircusF,AnimalBase,\dz\animals\capra_hircus_fem\capra_hircus_fem.p3d,\dz\animals\capra_hircus_fem\capra_hircus_fem.p3d,P:\DZ\animals\capra_hircus_fem\config.cpp
Animal_CapreolusCapreolus,AnimalBase,\DZ\animals\capreolus_capreolus\capreolus_capreolus.p3d,\DZ\animals\capreolus_capreolus\capreolus_capreolus.p3d,P:\DZ\animals\capreolus_capreolus\config.cpp
Animal_CapreolusCapreolusF,AnimalBase,\DZ\animals\capreolus_capreolus_fem\capreolus_capreolus_fem.p3d,\DZ\animals\capreolus_capreolus_fem\capreolus_capreolus_fem.p3d,P:\DZ\animals\capreolus_capreolus_fem\config.cpp
Animal_CervusElaphus,AnimalBase,\DZ\animals\cervus_elaphus\cervus_elaphus.p3d,\DZ\animals\cervus_elaphus\cervus_elaphus.p3d,P:\DZ\animals\cervus_elaphus\config.cpp
Animal_CervusElaphusF,AnimalBase,\DZ\animals\cervus_elaphus_fem\cervus_elaphus_fem.p3d,\DZ\animals\cervus_elaphus_fem\cervus_elaphus_fem.p3d,P:\DZ\animals\cervus_elaphus_fem\config.cpp
Animal_GallusGallusDomesticus,AnimalBase,\DZ\animals\gallus_gallus_domesticus\gallus_gallus_domesticus.p3d,\DZ\animals\gallus_gallus_domesticus\gallus_gallus_domesticus.p3d,P:\DZ\animals\gallus_gallus_domesticus\config.cpp
Animal_GallusGallusDomesticusF,AnimalBase,\DZ\animals\gallus_gallus_domesticus_feminam\gallus_gallus_domesticus_feminam.p3d,\DZ\animals\gallus_gallus_domesticus_feminam\gallus_gallus_domesticus_feminam.p3d,P:\DZ\animals\gallus_gallus_domesticus_feminam\config.cpp
Animal_GallusGallusDomesticusF_Brown,Animal_GallusGallusDomesticusF,,\DZ\animals\gallus_gallus_domesticus_feminam\gallus_gallus_domesticus_feminam.p3d,P:\DZ\animals\gallus_gallus_domesticus_feminam\config.cpp
Animal_GallusGallusDomesticusF_Spotted,Animal_GallusGallusDomesticusF,,\DZ\animals\gallus_gallus_domesticus_feminam\gallus_gallus_domesticus_feminam.p3d,P:\DZ\animals\gallus_gallus_domesticus_feminam\config.cpp
Animal_GallusGallusDomesticusF_White,Animal_GallusGallusDomesticusF,,\DZ\animals\gallus_gallus_domesticus_feminam\gallus_gallus_domesticus_feminam.p3d,P:\DZ\animals\gallus_gallus_domesticus_feminam\config.cpp
Animal_LepusEuropaeus,AnimalBase,\DZ\animals\lepus_europaeus\lepus_europaeus.p3d,\DZ\animals\lepus_europaeus\lepus_europaeus.p3d,P:\DZ\animals\lepus_europaeus\config.cpp
Animal_OvisAries,AnimalBase,\DZ\animals\ovis_aries\ovis_aries.p3d,\DZ\animals\ovis_aries\ovis_aries.p3d,P:\DZ\animals\ovis_aries\config.cpp
Animal_OvisAriesF,AnimalBase,\DZ\animals\ovis_aries_fem\ovis_aries_fem.p3d,\DZ\animals\ovis_aries_fem\ovis_aries_fem.p3d,P:\DZ\animals\ovis_aries_fem\config.cpp
Animal_RangiferTarandus,AnimalBase,\DZ\animals\rangifer_tarandus\rangifer_tarandus.p3d,\DZ\animals\rangifer_tarandus\rangifer_tarandus.p3d,P:\DZ\animals\rangifer_tarandus\config.cpp
Animal_RangiferTarandus_Xmas,Animal_RangiferTarandus,\DZ\animals\rangifer_tarandus\rangifer_tarandus_xmas.p3d,\DZ\animals\rangifer_tarandus\rangifer_tarandus_xmas.p3d,P:\DZ\animals\rangifer_tarandus\config.cpp
Animal_RangiferTarandusF,AnimalBase,\DZ\animals\rangifer_tarandus_fem\rangifer_tarandus_fem.p3d,\DZ\animals\rangifer_tarandus_fem\rangifer_tarandus_fem.p3d,P:\DZ\animals\rangifer_tarandus_fem\config.cpp
Animal_SusDomesticus,AnimalBase,\DZ\animals\sus_domesticus\sus_domesticus.p3d,\DZ\animals\sus_domesticus\sus_domesticus.p3d,P:\DZ\animals\sus_domesticus\config.cpp
Animal_SusScrofa,AnimalBase,\DZ\animals\sus_scrofa\sus_scrofa.p3d,\DZ\animals\sus_scrofa\sus_scrofa.p3d,P:\DZ\animals\sus_scrofa\config.cpp
Animal_UrsusArctos,AnimalBase,\DZ\animals_bliss\ursus_arctos\ursus_arctos.p3d,\DZ\animals_bliss\ursus_arctos\ursus_arctos.p3d,P:\DZ\animals_bliss\ursus_arctos\config.cpp
Animal_VulpesVulpes,AnimalBase,\DZ\animals\vulpes_vulpes\vulpes_vulpes.p3d,\DZ\animals\vulpes_vulpes\vulpes_vulpes.p3d,P:\DZ\animals\vulpes_vulpes\config.cpp
AnimalBase,DZ_LightAI,,,P:\DZ\animals\config.cpp
AnimalsHoofsMedium,AnimalBase,,,P:\DZ\animals\config.cpp
Anniversary_FireworksLauncher,FireworksLauncher,,\dz\gear\tools\FireworksLauncher.p3d,P:\DZ\gear\tools\config.cpp
AnniversaryBox,Container_Base,\DZ\gear\camping\sea_chest_anniversary.p3d,\DZ\gear\camping\sea_chest_anniversary.p3d,P:\DZ\gear\camping\config.cpp
AnniversaryMusicSource,HouseNoDestruct,\DZ\data\empty.p3d,\DZ\data\empty.p3d,P:\DZ\data\config.cpp
AnniversarySpotLight,HouseNoDestruct,\DZ\data\empty.p3d,\DZ\data\empty.p3d,P:\DZ\data\config.cpp
AntiChemInjector,Inventory_Base,\dz\gear\medical\Epinephrine.p3d,\dz\gear\medical\Epinephrine.p3d,P:\DZ\gear\medical\config.cpp
AntiPestsSpray,Inventory_Base,\dz\gear\medical\DisinfectantSpray.p3d,\dz\gear\medical\DisinfectantSpray.p3d,P:\DZ\gear\cultivation\config.cpp
Armband_Altis,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_APA,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_BabyDeer,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Bear,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Black,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Blue,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Bohemia,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_BrainZ,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Cannibals,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_CDF,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Chedaki,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_CHEL,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Chernarus,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_CMC,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_ColorBase,Clothing,\DZ\characters\tops\armbend_g.p3d,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Crook,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_DayZ,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Green,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_HunterZ,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Livonia,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_LivoniaArmy,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_LivoniaPolice,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_NAPA,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_NSahrani,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Orange,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Pink,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Pirates,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Red,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Refuge,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Rex,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Rooster,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_RSTA,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Snake,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_SSahrani,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_TEC,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_UEC,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_White,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Wolf,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Yellow,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Zagorky,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
Armband_Zenit,Armband_ColorBase,,\DZ\characters\tops\armbend_g.p3d,P:\DZ\characters\tops\config.cpp
ArmyPouch_Beige,ArmyPouch_ColorBase,,\dz\characters\backpacks\ArmyPouch_g.p3d,P:\DZ\characters\backpacks\config.cpp
ArmyPouch_Black,ArmyPouch_ColorBase,,\dz\characters\backpacks\ArmyPouch_g.p3d,P:\DZ\characters\backpacks\config.cpp
ArmyPouch_Camo,ArmyPouch_ColorBase,,\dz\characters\backpacks\ArmyPouch_g.p3d,P:\DZ\characters\backpacks\config.cpp
ArmyPouch_ColorBase,Clothing,\dz\characters\backpacks\ArmyPouch_g.p3d,\dz\characters\backpacks\ArmyPouch_g.p3d,P:\DZ\characters\backpacks\config.cpp
ArmyPouch_Green,ArmyPouch_ColorBase,,\dz\characters\backpacks\ArmyPouch_g.p3d,P:\DZ\characters\backpacks\config.cpp
AssaultBag_Black,AssaultBag_ColorBase,,\dz\characters\backpacks\boulder_m53_g.p3d,P:\DZ\characters\backpacks\config.cpp
AssaultBag_ColorBase,Clothing,\dz\characters\backpacks\boulder_m53_g.p3d,\dz\characters\backpacks\boulder_m53_g.p3d,P:\DZ\characters\backpacks\config.cpp
AssaultBag_Green,AssaultBag_ColorBase,,\dz\characters\backpacks\boulder_m53_g.p3d,P:\DZ\characters\backpacks\config.cpp
AssaultBag_Ttsko,AssaultBag_ColorBase,,\dz\characters\backpacks\boulder_m53_g.p3d,P:\DZ\characters\backpacks\config.cpp
AssaultBag_Winter,AssaultBag_ColorBase,,\dz\characters\backpacks\boulder_m53_g.p3d,P:\DZ\characters\backpacks\config.cpp
AthleticShoes_Black,AthleticShoes_ColorBase,,\DZ\characters\shoes\athleticShoes_ground.p3d,P:\DZ\characters\shoes\config.cpp
AthleticShoes_Blue,AthleticShoes_ColorBase,,\DZ\characters\shoes\athleticShoes_ground.p3d,P:\DZ\characters\shoes\config.cpp
AthleticShoes_Brown,AthleticShoes_ColorBase,,\DZ\characters\shoes\athleticShoes_ground.p3d,P:\DZ\characters\shoes\config.cpp
AthleticShoes_ColorBase,Clothing,\DZ\characters\shoes\athleticShoes_ground.p3d,\DZ\characters\shoes\athleticShoes_ground.p3d,P:\DZ\characters\shoes\config.cpp
AthleticShoes_Green,AthleticShoes_ColorBase,,\DZ\characters\shoes\athleticShoes_ground.p3d,P:\DZ\characters\shoes\config.cpp
AthleticShoes_Grey,AthleticShoes_ColorBase,,\DZ\characters\shoes\athleticShoes_ground.p3d,P:\DZ\characters\shoes\config.cpp
AtlasBipod,Inventory_Base,\DZ\weapons\attachments\support\bipod_atlas.p3d,\DZ\weapons\attachments\support\bipod_atlas.p3d,P:\DZ\weapons\attachments\support\config.cpp
Aug_Barrel,ItemBarrel,\dz\weapons\attachments\muzzle\suppressor_556.p3d,\dz\weapons\attachments\muzzle\suppressor_556.p3d,P:\DZ\weapons\attachments\muzzle\config.cpp
AugOptic,ItemOptics,\dz\weapons\firearms\aug\proxy\scope.p3d,\dz\weapons\firearms\aug\proxy\scope.p3d,P:\DZ\weapons\firearms\aug\config.cpp
AviatorGlasses,Clothing,\DZ\characters\glasses\aviator_glasses_g.p3d,\DZ\characters\glasses\aviator_glasses_g.p3d,P:\DZ\characters\glasses\config.cpp
Balaclava3Holes_Beige,Balaclava3Holes_ColorBase,,\DZ\characters\masks\Balaclava_3holes_g.p3d,P:\DZ\characters\masks\config.cpp
