,id,objectName,inGameName,path,modelType,linked_p3d_current,expected_linked_p3d_class_candidates,expected_linked_p3d_id_candidates,linked_variant_count,searchTags
y,dzobj_mp54zp951r,WitchHoodCoif_Black,Witch Hood,dz/characters/headgear,Config,,witchhoodcoif_g.p3d|witchhood_g.p3d,dzobj_7qtckb3dts|dzobj_rg07c3fzpy,2,"black, festive, headgear, hood"
y,dzobj_mgyajhqq4v,WitchHoodCoif_Brown,Witch Hood,dz/characters/headgear,Config,,witchhoodcoif_g.p3d|witchhood_g.p3d,dzobj_7qtckb3dts|dzobj_rg07c3fzpy,2,"black, festive, headgear, hood"
y,dzobj_6y79rpwz52,WitchHoodCoif_Red,Witch Hood,dz/characters/headgear,Config,,witchhoodcoif_g.p3d|witchhood_g.p3d,dzobj_7qtckb3dts|dzobj_rg07c3fzpy,2,"black, festive, headgear, hood"
,dzobj_g6rh32v3w5,FireplaceFireBarrel,Fireplace,dz/gear/cooking,Config,,fireplaceindoor.p3d|fireplace.p3d|ovenindoor.p3d,dzobj_2hxum3sk9w|dzobj_auz7lxl6nw|dzobj_ufsnywcl2l,0,"container, cooking, drum, effect, flame, gear"
,dzobj_dow6kfnc15,NoiseFireplaceSpecial,Fireplace,dz/gear/cooking,Config,,fireplaceindoor.p3d|fireplace.p3d|ovenindoor.p3d,dzobj_2hxum3sk9w|dzobj_auz7lxl6nw|dzobj_ufsnywcl2l,0,"cooking, gear, fire, tree, wood, timber, warm"
,dzobj_zj7eeld9cn,Anthoxanthum,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_rgtkjufrkg,Anthoxanthum_bended,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_4uah23som3,Broadleaf_Undergrowth,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,1,"clutter, plants, grasses, foilage, ground"
,dzobj_watax6z03k,Broadleaf_Undergrowth_Red,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,1,"clutter, plants, grasses, foilage, ground"
,dzobj_nnum7mgex4,Calamagrostis,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_nnwseh756y,Carduus,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_rfdzwr8pws,Carduus_f,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_e7hwunolo5,Clutter,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,plants
,dzobj_6liedn6p7x,ConcreteGrass,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_vdbqaxo6yp,Cones,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_ep4eb5b6w2,DirtGrass,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_s2mbr9b1n6,Elytrigia,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,1,"clutter, plants, grasses, foilage, ground"
,dzobj_kpt425d5ic,ElytrigiaDirt,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_hq2fmsa0z2,ElytrigiaForest,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_4xlvix4tfk,ElytrigiaGreen,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,1,"clutter, plants, grasses, foilage, ground"
,dzobj_vdio16o95x,ElytrigiaTall,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_5lj4v1srdv,Hypericum,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_xtunm7zyq5,Hypericum_f,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_88yc0gjqyl,Leafs_spread,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_psumpfvdj4,Lolium,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_l4i4yuh25r,Polypodiophyta,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_xbal3goaxq,Polypodiophyta_b,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_v3d5h9p64u,Polypodiophyta_c,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_n03d4ox4y8,PolypodiophytaTall,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_k3c18y42fy,SmallPicea,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_foksmn1xur,Taraxacum,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_wbv6j3d995,Twigs,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_a077okb760,Twigs_b,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_10595zd0du,Vaccinium,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,2,"clutter, plants, grasses, foilage, ground"
,dzobj_mtk704bhjo,VacciniumGreen,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,2,"clutter, plants, grasses, foilage, ground"
,dzobj_rbpkllazuq,VacciniumRed,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,2,"clutter, plants, grasses, foilage, ground"
,dzobj_qzu2qryae4,VacciniumTall,-,dz/plants/clutter,Config,,c_broadleaf_sprouts.p3d|c_broadleaf_sprouts_tall.p3d,dzobj_1ajzjjwekr|dzobj_l9o9h54zo3,0,"clutter, plants, grasses, foilage, ground"
,dzobj_iv0il7ra9z,branches_picea_deforested_summer,-,dz/plants_bliss/clutter,Config,,c_grasslow_summer.p3d|c_grass_flower1_summer.p3d|c_stubble_summer.p3d|c_wheat_summer.p3d|c_grassdry3_summer.p3d|c_leaves_dead_half_summer.p3d|c_beech_mid_summer.p3d|c_grassplant1_summer.p3d|c_grassdryplant1_summer.p3d|c_beech_big_summer.p3d|c_dirtgrass_bunch_summer.p3d|c_pines_summer.p3d|c_grasssmall_summer.p3d|c_vaccinium_summer.p3d|c_grasstiny_summer.p3d|c_wheat2.p3d|c_grassbasehypericum_summer.p3d|c_wheattall_summer.p3d|c_grassflowersyellowshort_summer.p3d|c_grassflowerswhite_summer.p3d|c_elytrigiadirt_summer.p3d|c_grasstall2_summer.p3d|c_branches_picea_summer.p3d|c_grassplant2_summer.p3d|c_grassflowersyellow_summer.p3d|c_grassdrytall2_summer.p3d|c_cones_summer.p3d|c_elytrigia_green_summer.p3d|c_grasstinyconc_summer.p3d|c_plantssmall2_summer.p3d|c_grassanthoxanthum_bended_summer.p3d|c_leaves_dead_summer.p3d|c_beech_small_summer.p3d|c_grassdryhypericum_summer.p3d|c_plantssmall1_summer.p3d|c_elytrigiatall_summer.p3d|c_grasscropcarduus_f_summer.p3d|c_grasssmallconc_summer.p3d|c_ferntall_summer.p3d|c_grassdry_summer.p3d|c_grassflowerspurpletall_summer.p3d|c_grasscrophypericum_summer.p3d|c_grassbasecarduus_f_summer.p3d|c_elytrigia_summer.p3d|c_branches_deciduous_summer.p3d|c_grassflowerswhiteshort_summer.p3d|c_grass_summer.p3d|c_elytrigiatall2_summer.p3d|c_fern_summer.p3d|c_grassdrytall3_summer.p3d|c_grassdrytall_summer.p3d|c_grassflowersyellowtall_summer.p3d|c_grassanthoxanthum_summer.p3d|c_grassflowerspurple_summer.p3d|c_grassdry2_summer.p3d|c_grasstall3_summer.p3d|c_grassflowerswhitetall_summer.p3d|c_grassdrycarduus_f_summer.p3d|c_branchesbig_picea_summer.p3d|c_grassflowerspurpleshort_summer.p3d|c_concretegrass_bunch_summer.p3d,dzobj_092ztfrlsa|dzobj_0i4ez5ekfj|dzobj_0kbtqlb8du|dzobj_0l70ydmc3d|dzobj_17yeus104n|dzobj_19h51bfs97|dzobj_2gvp89qysb|dzobj_3362ytrztx|dzobj_37ww0eo8fy|dzobj_3h4axx6cll|dzobj_3iiyy8puz4|dzobj_44png4ef01|dzobj_45cpc5tm9n|dzobj_5nhbcntjpr|dzobj_67dwhtsn72|dzobj_76lqckhqbm|dzobj_7d9rdisv2w|dzobj_9qqpc7qiqf|dzobj_a0tk2wesz3|dzobj_aal5zjhhv8|dzobj_bb0fo4b7hi|dzobj_c4y8gaf75u|dzobj_cg42tlmydz|dzobj_dgtk5vw4rs|dzobj_dxydr201m0|dzobj_ecnl26r6y7|dzobj_fazscpmro0|dzobj_g66xfewrl0|dzobj_g6y9ony4np|dzobj_gbi7fri4ht|dzobj_h02i7qr485|dzobj_hkj7awsfrm|dzobj_i0971gaq9d|dzobj_jbiza0dpu7|dzobj_ltbos67lz1|dzobj_m2irfc1rtv|dzobj_mljigzozxu|dzobj_mqvc81crly|dzobj_mztpcje1s3|dzobj_n09iah85ae|dzobj_n7ad8r6pvx|dzobj_nfnywdz80m|dzobj_nzjam1giok|dzobj_oxwprm5uz0|dzobj_pmqhvum59l|dzobj_pnauzmv16b|dzobj_puglexuunz|dzobj_q0we4riwf5|dzobj_rpo7hqgnnk|dzobj_s124poa32c|dzobj_sriqqcp0bd|dzobj_ssueeh4vhq|dzobj_st5vwr5sjz|dzobj_sz4nbgg8yt|dzobj_t7mgxa08kl|dzobj_ui10r9ux2h|dzobj_yg29m9bryu|dzobj_yg9s3b8de7|dzobj_zc4d5vgmgb|dzobj_zqhcwq1nd4|dzobj_zvo8qe8735,0,"clutter, plants, grasses, foilage, ground"
,dzobj_wb8pbil360,branchesBig_picea_deforested_summer,-,dz/plants_bliss/clutter,Config,,c_grasslow_summer.p3d|c_grass_flower1_summer.p3d|c_stubble_summer.p3d|c_wheat_summer.p3d|c_grassdry3_summer.p3d|c_leaves_dead_half_summer.p3d|c_beech_mid_summer.p3d|c_grassplant1_summer.p3d|c_grassdryplant1_summer.p3d|c_beech_big_summer.p3d|c_dirtgrass_bunch_summer.p3d|c_pines_summer.p3d|c_grasssmall_summer.p3d|c_vaccinium_summer.p3d|c_grasstiny_summer.p3d|c_wheat2.p3d|c_grassbasehypericum_summer.p3d|c_wheattall_summer.p3d|c_grassflowersyellowshort_summer.p3d|c_grassflowerswhite_summer.p3d|c_elytrigiadirt_summer.p3d|c_grasstall2_summer.p3d|c_branches_picea_summer.p3d|c_grassplant2_summer.p3d|c_grassflowersyellow_summer.p3d|c_grassdrytall2_summer.p3d|c_cones_summer.p3d|c_elytrigia_green_summer.p3d|c_grasstinyconc_summer.p3d|c_plantssmall2_summer.p3d|c_grassanthoxanthum_bended_summer.p3d|c_leaves_dead_summer.p3d|c_beech_small_summer.p3d|c_grassdryhypericum_summer.p3d|c_plantssmall1_summer.p3d|c_elytrigiatall_summer.p3d|c_grasscropcarduus_f_summer.p3d|c_grasssmallconc_summer.p3d|c_ferntall_summer.p3d|c_grassdry_summer.p3d|c_grassflowerspurpletall_summer.p3d|c_grasscrophypericum_summer.p3d|c_grassbasecarduus_f_summer.p3d|c_elytrigia_summer.p3d|c_branches_deciduous_summer.p3d|c_grassflowerswhiteshort_summer.p3d|c_grass_summer.p3d|c_elytrigiatall2_summer.p3d|c_fern_summer.p3d|c_grassdrytall3_summer.p3d|c_grassdrytall_summer.p3d|c_grassflowersyellowtall_summer.p3d|c_grassanthoxanthum_summer.p3d|c_grassflowerspurple_summer.p3d|c_grassdry2_summer.p3d|c_grasstall3_summer.p3d|c_grassflowerswhitetall_summer.p3d|c_grassdrycarduus_f_summer.p3d|c_branchesbig_picea_summer.p3d|c_grassflowerspurpleshort_summer.p3d|c_concretegrass_bunch_summer.p3d,dzobj_092ztfrlsa|dzobj_0i4ez5ekfj|dzobj_0kbtqlb8du|dzobj_0l70ydmc3d|dzobj_17yeus104n|dzobj_19h51bfs97|dzobj_2gvp89qysb|dzobj_3362ytrztx|dzobj_37ww0eo8fy|dzobj_3h4axx6cll|dzobj_3iiyy8puz4|dzobj_44png4ef01|dzobj_45cpc5tm9n|dzobj_5nhbcntjpr|dzobj_67dwhtsn72|dzobj_76lqckhqbm|dzobj_7d9rdisv2w|dzobj_9qqpc7qiqf|dzobj_a0tk2wesz3|dzobj_aal5zjhhv8|dzobj_bb0fo4b7hi|dzobj_c4y8gaf75u|dzobj_cg42tlmydz|dzobj_dgtk5vw4rs|dzobj_dxydr201m0|dzobj_ecnl26r6y7|dzobj_fazscpmro0|dzobj_g66xfewrl0|dzobj_g6y9ony4np|dzobj_gbi7fri4ht|dzobj_h02i7qr485|dzobj_hkj7awsfrm|dzobj_i0971gaq9d|dzobj_jbiza0dpu7|dzobj_ltbos67lz1|dzobj_m2irfc1rtv|dzobj_mljigzozxu|dzobj_mqvc81crly|dzobj_mztpcje1s3|dzobj_n09iah85ae|dzobj_n7ad8r6pvx|dzobj_nfnywdz80m|dzobj_nzjam1giok|dzobj_oxwprm5uz0|dzobj_pmqhvum59l|dzobj_pnauzmv16b|dzobj_puglexuunz|dzobj_q0we4riwf5|dzobj_rpo7hqgnnk|dzobj_s124poa32c|dzobj_sriqqcp0bd|dzobj_ssueeh4vhq|dzobj_st5vwr5sjz|dzobj_sz4nbgg8yt|dzobj_t7mgxa08kl|dzobj_ui10r9ux2h|dzobj_yg29m9bryu|dzobj_yg9s3b8de7|dzobj_zc4d5vgmgb|dzobj_zqhcwq1nd4|dzobj_zvo8qe8735,0,"clutter, plants, grasses, foilage, ground"
,dzobj_qiqdumi0xz,Clutter,-,dz/plants_bliss/clutter,Config,,c_grasslow_summer.p3d|c_grass_flower1_summer.p3d|c_stubble_summer.p3d|c_wheat_summer.p3d|c_grassdry3_summer.p3d|c_leaves_dead_half_summer.p3d|c_beech_mid_summer.p3d|c_grassplant1_summer.p3d|c_grassdryplant1_summer.p3d|c_beech_big_summer.p3d|c_dirtgrass_bunch_summer.p3d|c_pines_summer.p3d|c_grasssmall_summer.p3d|c_vaccinium_summer.p3d|c_grasstiny_summer.p3d|c_wheat2.p3d|c_grassbasehypericum_summer.p3d|c_wheattall_summer.p3d|c_grassflowersyellowshort_summer.p3d|c_grassflowerswhite_summer.p3d|c_elytrigiadirt_summer.p3d|c_grasstall2_summer.p3d|c_branches_picea_summer.p3d|c_grassplant2_summer.p3d|c_grassflowersyellow_summer.p3d|c_grassdrytall2_summer.p3d|c_cones_summer.p3d|c_elytrigia_green_summer.p3d|c_grasstinyconc_summer.p3d|c_plantssmall2_summer.p3d|c_grassanthoxanthum_bended_summer.p3d|c_leaves_dead_summer.p3d|c_beech_small_summer.p3d|c_grassdryhypericum_summer.p3d|c_plantssmall1_summer.p3d|c_elytrigiatall_summer.p3d|c_grasscropcarduus_f_summer.p3d|c_grasssmallconc_summer.p3d|c_ferntall_summer.p3d|c_grassdry_summer.p3d|c_grassflowerspurpletall_summer.p3d|c_grasscrophypericum_summer.p3d|c_grassbasecarduus_f_summer.p3d|c_elytrigia_summer.p3d|c_branches_deciduous_summer.p3d|c_grassflowerswhiteshort_summer.p3d|c_grass_summer.p3d|c_elytrigiatall2_summer.p3d|c_fern_summer.p3d|c_grassdrytall3_summer.p3d|c_grassdrytall_summer.p3d|c_grassflowersyellowtall_summer.p3d|c_grassanthoxanthum_summer.p3d|c_grassflowerspurple_summer.p3d|c_grassdry2_summer.p3d|c_grasstall3_summer.p3d|c_grassflowerswhitetall_summer.p3d|c_grassdrycarduus_f_summer.p3d|c_branchesbig_picea_summer.p3d|c_grassflowerspurpleshort_summer.p3d|c_concretegrass_bunch_summer.p3d,dzobj_092ztfrlsa|dzobj_0i4ez5ekfj|dzobj_0kbtqlb8du|dzobj_0l70ydmc3d|dzobj_17yeus104n|dzobj_19h51bfs97|dzobj_2gvp89qysb|dzobj_3362ytrztx|dzobj_37ww0eo8fy|dzobj_3h4axx6cll|dzobj_3iiyy8puz4|dzobj_44png4ef01|dzobj_45cpc5tm9n|dzobj_5nhbcntjpr|dzobj_67dwhtsn72|dzobj_76lqckhqbm|dzobj_7d9rdisv2w|dzobj_9qqpc7qiqf|dzobj_a0tk2wesz3|dzobj_aal5zjhhv8|dzobj_bb0fo4b7hi|dzobj_c4y8gaf75u|dzobj_cg42tlmydz|dzobj_dgtk5vw4rs|dzobj_dxydr201m0|dzobj_ecnl26r6y7|dzobj_fazscpmro0|dzobj_g66xfewrl0|dzobj_g6y9ony4np|dzobj_gbi7fri4ht|dzobj_h02i7qr485|dzobj_hkj7awsfrm|dzobj_i0971gaq9d|dzobj_jbiza0dpu7|dzobj_ltbos67lz1|dzobj_m2irfc1rtv|dzobj_mljigzozxu|dzobj_mqvc81crly|dzobj_mztpcje1s3|dzobj_n09iah85ae|dzobj_n7ad8r6pvx|dzobj_nfnywdz80m|dzobj_nzjam1giok|dzobj_oxwprm5uz0|dzobj_pmqhvum59l|dzobj_pnauzmv16b|dzobj_puglexuunz|dzobj_q0we4riwf5|dzobj_rpo7hqgnnk|dzobj_s124poa32c|dzobj_sriqqcp0bd|dzobj_ssueeh4vhq|dzobj_st5vwr5sjz|dzobj_sz4nbgg8yt|dzobj_t7mgxa08kl|dzobj_ui10r9ux2h|dzobj_yg29m9bryu|dzobj_yg9s3b8de7|dzobj_zc4d5vgmgb|dzobj_zqhcwq1nd4|dzobj_zvo8qe8735,0,"clutter, plants, grasses, foilage, ground"
,dzobj_8xymdogl3u,StaticObj_Furniture_matress_white,-,dz/structures/furniture/beds,Config,,stretcher_red.p3d|pillow_flannel.p3d|pillow_old.p3d|stretcher_red_folded.p3d|stretcher_green_folded.p3d|stretcher_green.p3d|pillow_grey.p3d,dzobj_2kd144qy9u|dzobj_4j9jab0ze0|dzobj_c6gg97klta|dzobj_gz41kstjop|dzobj_i6grbawfql|dzobj_jag6b3toa5|dzobj_ms8l6fjmuy,0,beds
,dzobj_fytsp0ww8h,StaticObj_Furniture_matress_white_bent,-,dz/structures/furniture/beds,Config,,stretcher_red.p3d|pillow_flannel.p3d|pillow_old.p3d|stretcher_red_folded.p3d|stretcher_green_folded.p3d|stretcher_green.p3d|pillow_grey.p3d,dzobj_2kd144qy9u|dzobj_4j9jab0ze0|dzobj_c6gg97klta|dzobj_gz41kstjop|dzobj_i6grbawfql|dzobj_jag6b3toa5|dzobj_ms8l6fjmuy,0,beds
,dzobj_z3vozppw8m,StaticObj_Furniture_postel_panelak1,-,dz/structures/furniture/beds,Config,,stretcher_red.p3d|pillow_flannel.p3d|pillow_old.p3d|stretcher_red_folded.p3d|stretcher_green_folded.p3d|stretcher_green.p3d|pillow_grey.p3d,dzobj_2kd144qy9u|dzobj_4j9jab0ze0|dzobj_c6gg97klta|dzobj_gz41kstjop|dzobj_i6grbawfql|dzobj_jag6b3toa5|dzobj_ms8l6fjmuy,0,beds
,dzobj_99n1r7fjl7,StaticObj_Barn_CowshedA,-,dz/structures/industrial/farms,Config,,farm_watertower_small.p3d|farm_cowshedb.p3d|farm_watertower.p3d|farm_hopper.p3d|farm_strawstack.p3d,dzobj_4st9q3iavl|dzobj_fpp9dkyj8b|dzobj_gahgtdbuj6|dzobj_i1gky4f50o|dzobj_tps06wiux8,0,"agriculture, farm, wooden, small, cows, animal, broken, damaged"
,dzobj_e3tj3epwcw,StaticObj_Barn_CowshedB,-,dz/structures/industrial/farms,Config,,farm_watertower_small.p3d|farm_cowshedb.p3d|farm_watertower.p3d|farm_hopper.p3d|farm_strawstack.p3d,dzobj_4st9q3iavl|dzobj_fpp9dkyj8b|dzobj_gahgtdbuj6|dzobj_i1gky4f50o|dzobj_tps06wiux8,0,"agriculture, farm, wooden, small, cows, animal, broken, damaged"
