id,objectName,modelType,path,image,bboxStatus,dimensionsSource,dimensionsVisual,bboxMinVisual,bboxMaxVisual,bboxLinkedFromId,bboxLinkedFromObject,bboxLinkMethod,donorPath,donorImage,donorModelType,donorDimensionsVisual
dzobj_pc9h7odqwf,AliceBag_Camo,Config,dz/characters/backpacks,images/characters/backpacks/alice_bag_camo.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.8511051833629608,0.7384095788002014,1.2851938009262085]","[-0.29909583926200867,-0.1172487735748291,-0.2857125997543335]","[0.5520093441009521,0.6211608052253723,0.999481201171875]",dzobj_trdtu27401,alicebackpack_g.p3d,exact_image,dz/characters/backpacks,images/characters/backpacks/alice_bag_camo.jpg,Raw P3D,"[0.8511051833629608,0.7384095788002014,1.2851938009262085]"
dzobj_l3rroh956q,Apple,Config,dz/gear/food,images/gear/food/apple.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.11174862831830978,0.13252243027091026,0.4087911695241928]","[-0.05381833016872406,-0.008769270032644272,-0.3539937436580658]","[0.057930298149585724,0.12375316023826599,0.054797425866127014]",dzobj_hedhl8e9jq,apple.p3d,object_token_path_family,dz/gear/food,images/gear/food/apple.p3d.jpg,Raw P3D,"[0.11174862831830978,0.13252243027091026,0.4087911695241928]"
dzobj_2d9no54hmx,ArmyPouch_Green,Config,dz/characters/backpacks,images/characters/backpacks/army_pouch_green.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.557410478591919,0.7416218984872103,0.7836059629917145]","[-0.19435438513755798,-0.010634051635861397,-0.6073219776153564]","[0.36305609345436096,0.7309878468513489,0.17628398537635803]",dzobj_kgxe9ro063,armypouch_g.p3d,exact_image,dz/characters/backpacks,images/characters/backpacks/army_pouch_green.jpg,Raw P3D,"[0.557410478591919,0.7416218984872103,0.7836059629917145]"
dzobj_bzdfkpq3od,AssaultBag_Green,Config,dz/characters/backpacks,images/characters/backpacks/assault_bag_green.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.8763660490512848,0.5751587674021721,1.1170635595917702]","[-0.25767698884010315,-0.0027121827006340027,-0.12398532778024673]","[0.6186890602111816,0.5724465847015381,0.9930782318115234]",dzobj_yy8i4jb39t,boulder_m53_g.p3d,exact_image,dz/characters/backpacks,images/characters/backpacks/assault_bag_green.jpg,Raw P3D,"[0.8763660490512848,0.5751587674021721,1.1170635595917702]"
dzobj_bmghmbludt,Aug,Config,dz/weapons/firearms/aug,images/weapons/firearms/aug.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[2.293338119983673,2.2799574434757233,2.000645875930786]","[-0.7370092272758484,-0.2773672640323639,-1.000322937965393]","[1.5563288927078247,2.0025901794433594,1.000322937965393]",dzobj_e8cl14rb6p,aug.p3d,object_token_path_family,dz/weapons/firearms/aug,images/weapons/firearms/dzweaponsfirearmsaugaug.p3d.jpg,Raw P3D,"[2.293338119983673,2.2799574434757233,2.000645875930786]"
dzobj_kd9fvuv4u5,AugShort,Config,dz/weapons/firearms/aug,images/weapons/firearms/augshort.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[2.0411584079265594,2.1270520240068436,2.000645875930786]","[-0.41035792231559753,-0.12446184456348419,-1.000322937965393]","[1.630800485610962,2.0025901794433594,1.000322937965393]",dzobj_nlk86i9rkv,aug_short.p3d,object_token_path_family,dz/weapons/firearms/aug,images/weapons/firearms/dzweaponsfirearmsaugaug_short.p3d.jpg,Raw P3D,"[2.0411584079265594,2.1270520240068436,2.000645875930786]"
dzobj_bodhclrrwl,B95,Config,dz/weapons/firearms/b95,images/weapons/firearms/b95.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[1.0648524761199951,0.7311789244413376,0.9642327725887299]","[-0.6124101281166077,-0.21481530368328094,-0.20003697276115417]","[0.45244234800338745,0.5163636207580566,0.7641957998275757]",dzobj_z39kdm3kwc,b95.p3d,object_token_path_family,dz/weapons/firearms/b95,images/weapons/firearms/dzweaponsfirearmsb95b95.p3d.jpg,Raw P3D,"[1.0648524761199951,0.7311789244413376,0.9642327725887299]"
dzobj_8ewstuyhok,Balaclava3Holes_Beige,Config,dz/characters/masks,images/characters/masks/balaclava3holes_beige/balaclava3holes_beige.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.3643590435385704,0.29382340610027313,0.5628154873847961]","[-0.29412081837654114,-0.15579305589199066,-0.01864093542098999]","[0.07023822516202927,0.13803035020828247,0.5441745519638062]",dzobj_i95uqthdu0,balaclava_3holes_g.p3d,exact_image,dz/characters/masks,images/characters/masks/balaclava3holes_beige/balaclava3holes_beige.jpg,Raw P3D,"[0.3643590435385704,0.29382340610027313,0.5628154873847961]"
dzobj_0huqsiezym,BalaclavaMask_BDU,Config,dz/characters/masks,images/characters/masks/balaclavamask_bdu/balaclavamask_bdu.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.399570994079113,0.29382340610027313,0.5774580910801888]","[-0.32933276891708374,-0.15579305589199066,-0.49679577350616455]","[0.07023822516202927,0.13803035020828247,0.0806623175740242]",dzobj_vvlfxbz5p4,balaclava_g.p3d,exact_image,dz/characters/masks,images/characters/masks/balaclavamask_bdu/balaclavamask_bdu.jpg,Raw P3D,"[0.399570994079113,0.29382340610027313,0.5774580910801888]"
dzobj_1veodz6vum,Ballerinas_Blue,Config,dz/characters/shoes,images/characters/shoes/ballerinas_blue/ballerinas_blue.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.47313643991947174,0.4579615592956543,0.3598964363336563]","[-0.3321910798549652,-0.0038175582885742188,-0.2170177698135376]","[0.14094536006450653,0.4541440010070801,0.1428786665201187]",dzobj_tidu5o1rr8,ballerinas_ground.p3d,exact_image,dz/characters/shoes,images/characters/shoes/ballerinas_blue/ballerinas_blue.jpg,Raw P3D,"[0.47313643991947174,0.4579615592956543,0.3598964363336563]"
dzobj_10xmk8d2ee,BandageDressing,Config,dz/gear/medical,images/gear/medical/bandagedressing.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.4236503541469574,0.4003269895911217,0.3289654850959778]","[-0.08257290720939636,-0.12165500968694687,-0.09230510890483856]","[0.34107744693756104,0.2786719799041748,0.23666037619113922]",dzobj_nj1tbpbm61,bandage_dressing.p3d,object_token_path_family,dz/gear/medical,images/gear/medical/bandage_dressing.p3d.jpg,Raw P3D,"[0.4236503541469574,0.4003269895911217,0.3289654850959778]"
dzobj_j3y46uv28i,Bandana_Blackpattern,Config,dz/characters/headgear,images/characters/headgear/bandana_blackpattern/bandana_blackpattern.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.29721032083034515,0.45760881900787354,1.2301273616030812]","[-0.19367215037345886,-0.26228421926498413,-0.0027510197833180428]","[0.10353817045688629,0.1953245997428894,1.2273763418197632]",dzobj_1h2pbdq6ad,bandanahybrid_g.p3d,image_token_path_family,dz/characters/headgear,images/characters/headgear/bandana_blackpattern/bandana_blackpattern.jpg,Raw P3D,"[0.29721032083034515,0.45760881900787354,1.2301273616030812]"
dzobj_3hg4z9ewko,BarbedWire,Config,dz/gear/camping,images/gear/camping/barbedwire.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[2.136560082435608,0.9983318597078323,0.8054110407829285]","[-1.0388400554656982,-0.07641120254993439,-0.40435001254081726]","[1.0977200269699097,0.921920657157898,0.4010610282421112]",dzobj_tx8b0tv8of,barbed_wire.p3d,object_token_path_family,dz/gear/camping,images/gear/camping/barbed_wire.p3d.jpg,Raw P3D,"[2.136560082435608,0.9983318597078323,0.8054110407829285]"
dzobj_73vyg7txbr,BaseballBat,Config,dz/weapons/melee/blunt,images/weapons/melee/blunt/baseballbat.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.23338985815644264,1.053218089044094,0.44344624876976013]","[-0.18620316684246063,-0.11907853931188583,-0.048273295164108276]","[0.04718669131398201,0.9341395497322083,0.39517295360565186]",dzobj_x7sjqfun0v,baseballbat.p3d,object_token_path_family,dz/weapons/melee/blunt,images/weapons/melee/blunt/baseballbat.p3d.jpg,Raw P3D,"[0.23338985815644264,1.053218089044094,0.44344624876976013]"
dzobj_vq77eqxait,BaseballCap_Beige,Config,dz/characters/headgear,images/characters/headgear/baseballcap_beige/baseballcap_beige.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.2992819738574326,0.7247500866651535,0.15231189131736755]","[-0.30353742837905884,-0.6261883974075317,-0.012653172016143799]","[-0.004255454521626234,0.09856168925762177,0.13965871930122375]",dzobj_z7l88qgg5v,baseballcap_ground.p3d,exact_image,dz/characters/headgear,images/characters/headgear/baseballcap_beige/baseballcap_beige.jpg,Raw P3D,"[0.2992819738574326,0.7247500866651535,0.15231189131736755]"
dzobj_igzfqls0p6,BatteryCharger,Config,dz/gear/camping,images/gear/camping/batterycharger.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[1.0637614727020264,0.5191345773637295,1.2659879624843597]","[-0.7801295518875122,-0.015643414109945297,-0.906901478767395]","[0.28363192081451416,0.5034911632537842,0.3590864837169647]",dzobj_sm72qtymbm,battery_charger.p3d,object_token_path_family,dz/gear/camping,images/gear/camping/battery_charger.p3d.jpg,Raw P3D,"[1.0637614727020264,0.5191345773637295,1.2659879624843597]"
dzobj_byti3z43v6,BDUJacket,Config,dz/characters/tops,images/characters/tops/bdujacket/bdujacket.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.753838837146759,0.35759515687823296,0.6951432526111603]","[-0.36826151609420776,-0.05126316472887993,-0.3605506718158722]","[0.38557732105255127,0.306331992149353,0.3345925807952881]",dzobj_597w8rcqyk,bdu_jacket_g.p3d,exact_image,dz/characters/tops,images/characters/tops/bdujacket/bdujacket.jpg,Raw P3D,"[0.753838837146759,0.35759515687823296,0.6951432526111603]"
dzobj_zhuzowl7ci,BDUPants,Config,dz/characters/pants,images/characters/pants/bdupants/bdupants.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.745098888874054,0.588420931249857,0.5812781453132629]","[-0.31291741132736206,-0.02320963516831398,-0.25125980377197266]","[0.4321814775466919,0.565211296081543,0.3300183415412903]",dzobj_cbjblo7mot,bdu_pants_g.p3d,exact_image,dz/characters/pants,images/characters/pants/bdupants/bdupants.jpg,Raw P3D,"[0.745098888874054,0.588420931249857,0.5812781453132629]"
dzobj_9798dpb1kr,BeanieHat_Beige,Config,dz/characters/headgear,images/characters/headgear/beaniehat_beige/beaniehat_beige.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.2799750715494156,0.29836583137512207,5.818108677864075]","[-0.2186983823776245,-0.1280583292245865,-0.017180562019348145]","[0.06127668917179108,0.17030750215053558,5.800928115844727]",dzobj_gd59kfvmx4,beaniehat_ground.p3d,exact_image,dz/characters/headgear,images/characters/headgear/beaniehat_beige/beaniehat_beige.jpg,Raw P3D,"[0.2799750715494156,0.29836583137512207,5.818108677864075]"
dzobj_299fz6ey9o,BearTrap,Config,dz/gear/traps,images/gear/traps/beartrap.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.9006527066230774,0.8450247645378113,1.9749169200658798]","[-0.44925856590270996,-1.0524194118093795e-17,-1.7684394121170044]","[0.45139414072036743,0.8450247645378113,0.20647750794887543]",dzobj_nayxu6fx7d,beartrap.p3d,object_token_path_family,dz/gear/traps,images/gear/traps/beartrap.p3d.jpg,Raw P3D,"[0.9006527066230774,0.8450247645378113,1.9749169200658798]"
dzobj_3uhv25m64l,beech_big_summer,Config,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_beech_big_summer.p3d.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[1.883392095565796,1.9165042638778687,2.3469221591949463]","[-0.941696047782898,-0.9582521319389343,-1.1734610795974731]","[0.941696047782898,0.9582521319389343,1.1734610795974731]",dzobj_3h4axx6cll,c_beech_big_summer.p3d,exact_image,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_beech_big_summer.p3d.jpg,Raw P3D,"[1.883392095565796,1.9165042638778687,2.3469221591949463]"
dzobj_ib740bn6ke,beech_mid_summer,Config,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_beech_mid_summer.p3d.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.754533052444458,1.0102329850196838,0.7123280167579651]","[-0.377266526222229,-0.5051165223121643,-0.35616400837898254]","[0.377266526222229,0.5051164627075195,0.35616400837898254]",dzobj_2gvp89qysb,c_beech_mid_summer.p3d,exact_image,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_beech_mid_summer.p3d.jpg,Raw P3D,"[0.754533052444458,1.0102329850196838,0.7123280167579651]"
dzobj_nwpicscikz,beech_small_summer,Config,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_beech_small_summer.p3d.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.4448630213737488,0.49684959650039673,0.5136840343475342]","[-0.2224315106868744,-0.24842479825019836,-0.2568420171737671]","[0.2224315106868744,0.24842479825019836,0.2568420171737671]",dzobj_i0971gaq9d,c_beech_small_summer.p3d,exact_image,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_beech_small_summer.p3d.jpg,Raw P3D,"[0.4448630213737488,0.49684959650039673,0.5136840343475342]"
dzobj_iuvj3tq4ec,Binoculars,Config,dz/gear/optics,images/gear/optics/binoculars.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.24280183017253876,0.2754749208688736,0.7322842478752136]","[-0.180182546377182,-0.14399999380111694,-0.08815127611160278]","[0.06261928379535675,0.13147492706775665,0.6441329717636108]",dzobj_ebddsv0km0,binoculars.p3d,object_token_path_family,dz/gear/optics,images/gear/optics/binoculars.p3d.jpg,Raw P3D,"[0.24280183017253876,0.2754749208688736,0.7322842478752136]"
dzobj_jy81cv2nhu,Bitterlings,Config,dz/gear/food,images/gear/food/bitterlings.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.1917669028043747,0.370745163410902,0.2448982298374176]","[-0.07707207649946213,-0.025655966252088547,-0.13775882124900818]","[0.11469482630491257,0.3450891971588135,0.10713940858840942]",dzobj_f2785js7q2,bitterlings.p3d,object_token_path_family,dz/gear/food,images/gear/food/bitterlings.p3d.jpg,Raw P3D,"[0.1917669028043747,0.370745163410902,0.2448982298374176]"
dzobj_uc7ub2s9ad,BloodBagFull,Config,dz/gear/medical,images/gear/medical/bloodbagfull.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.23957686498761177,0.31627196073532104,0.4474158398807049]","[-0.18250641226768494,-0.10496363043785095,-0.41477733850479126]","[0.057070452719926834,0.2113083302974701,0.03263850137591362]",dzobj_3zz886znpn,bloodbag_full.p3d,object_token_path_family,dz/gear/medical,images/gear/medical/bloodbag_full.p3d.jpg,Raw P3D,"[0.23957686498761177,0.31627196073532104,0.4474158398807049]"
dzobj_fjsx063jft,BloodTestKit,Config,dz/gear/medical,images/gear/medical/bloodtestkit.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.1412985995411873,0.10053233057260513,0.16064965166151524]","[-0.09061774611473083,-0.04504900425672531,-0.15242591500282288]","[0.05068085342645645,0.05548332631587982,0.00822373665869236]",dzobj_khwltwhs47,bloodtest_kit.p3d,object_token_path_family,dz/gear/medical,images/gear/medical/bloodtest_kit.p3d.jpg,Raw P3D,"[0.1412985995411873,0.10053233057260513,0.16064965166151524]"
dzobj_puja2s23zf,Blouse_Blue,Config,dz/characters/tops,images/characters/tops/blouse_blue/blouse_blue.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.5663870722055435,0.7054203655570745,0.7708220183849335]","[-0.24784500896930695,-0.027005603536963463,-0.35284101963043213]","[0.3185420632362366,0.6784147620201111,0.41798099875450134]",dzobj_2zz327b2ck,blouse_g.p3d,exact_image,dz/characters/tops,images/characters/tops/blouse_blue/blouse_blue.jpg,Raw P3D,"[0.5663870722055435,0.7054203655570745,0.7708220183849335]"
dzobj_488dqktbzv,Blowtorch,Config,dz/gear/tools,images/gear/tools/blowtorch.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.44597119092941284,2.1039035469293594,1.5721071362495422]","[-0.40572142601013184,-0.06609727442264557,-0.5721960067749023]","[0.040249764919281006,2.037806272506714,0.9999111294746399]",dzobj_uqiy3qvnr6,blowtorch.p3d,object_token_path_family,dz/gear/tools,images/gear/tools/blowtorch.p3d.jpg,Raw P3D,"[0.44597119092941284,2.1039035469293594,1.5721071362495422]"
dzobj_bjgyu96drb,BomberJacket_Black,Config,dz/characters/tops,images/characters/tops/bomberjacket_black/bomberjacket_black.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.9225769937038422,1.9273875784128904,0.8691903650760651]","[-0.398766428232193,-0.019297702237963676,-0.345493346452713]","[0.5238105654716492,1.9080898761749268,0.523697018623352]",dzobj_etzbog5a7o,bomberjacket_g.p3d,exact_image,dz/characters/tops,images/characters/tops/bomberjacket_black/bomberjacket_black.jpg,Raw P3D,"[0.9225769937038422,1.9273875784128904,0.8691903650760651]"
dzobj_vlry5x3myj,BoneBait,Config,dz/gear/crafting,images/gear/crafting/bonebait.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.033438410609960556,0.07583342492580414,0.10883822152391076]","[-0.027484435588121414,-0.021411851048469543,-0.0017761350609362125]","[0.005953975021839142,0.054421573877334595,0.10706208646297455]",dzobj_7pu4ctha2q,bone_bait.p3d,object_token_path_family,dz/gear/crafting,images/gear/crafting/bone_bait.p3d.jpg,Raw P3D,"[0.033438410609960556,0.07583342492580414,0.10883822152391076]"
dzobj_lmctowkbvi,BoneHook,Config,dz/gear/crafting,images/gear/crafting/bonehook.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.0729803778231144,0.12277030386030674,0.12524467334151268]","[-0.04481123387813568,-0.02277030237019062,-0.026503246277570724]","[0.028169143944978714,0.10000000149011612,0.09874142706394196]",dzobj_un4a5i6gm6,bone_hook.p3d,object_token_path_family,dz/gear/crafting,images/gear/crafting/bone_hook.p3d.jpg,Raw P3D,"[0.0729803778231144,0.12277030386030674,0.12524467334151268]"
dzobj_mkmi84vqnk,BoneKnife,Config,dz/gear/tools,images/gear/tools/boneknife.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.03055303357541561,0.4194927252829075,0.14162175823003054]","[-0.015378400683403015,-0.044400934129953384,-0.011506234295666218]","[0.015174632892012596,0.3750917911529541,0.13011552393436432]",dzobj_54h10j88wt,bone_knife.p3d,object_token_path_family,dz/gear/tools,images/gear/tools/bone_knife.p3d.jpg,Raw P3D,"[0.03055303357541561,0.4194927252829075,0.14162175823003054]"
dzobj_p3f1rjfyzw,Bonfire,Config,dz/gear/camping,images/gear/camping/bonfire.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[7.970479965209961,8.457281589508057,7.580377101898193]","[-3.9852399826049805,-4.228640556335449,-3.7901885509490967]","[3.9852399826049805,4.228641033172607,3.7901885509490967]",dzobj_gjf9tqo6ld,bonfire.p3d,object_token_path_family,dz/gear/camping,images/gear/camping/bonfire.p3d.jpg,Raw P3D,"[7.970479965209961,8.457281589508057,7.580377101898193]"
dzobj_tghpi10o2d,BoonieHat_Black,Config,dz/characters/headgear,images/characters/headgear/booniehat_black/booniehat_black.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.7821758687496185,0.4302450716495514,0.5002481080591679]","[-0.7579102516174316,-0.2504490911960602,-0.04579612985253334]","[0.02426561713218689,0.1797959804534912,0.4544519782066345]",dzobj_0l20e689gg,booniehat_g.p3d,exact_image,dz/characters/headgear,images/characters/headgear/booniehat_black/booniehat_black.jpg,Raw P3D,"[0.7821758687496185,0.4302450716495514,0.5002481080591679]"
dzobj_w93xrpzv6c,BrakeFluid,Config,dz/vehicles/parts,images/vehicles/parts/brakefluid.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.14703035354614258,0.2733267545700073,0.2713187523186207]","[-0.0759585052728653,0,-0.22131875157356262]","[0.07107184827327728,0.2733267545700073,0.05000000074505806]",dzobj_nie53r5b8t,brake_fluid.p3d,object_token_path_family,dz/vehicles/parts,images/vehicles/parts/brake_fluid.p3d.jpg,Raw P3D,"[0.14703035354614258,0.2733267545700073,0.2713187523186207]"
dzobj_mcbm93pgnd,branches_deciduous_summer,Config,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_branches_deciduous_summer.p3d.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[1.986562967300415,0.32843130826950073,1.6128865480422974]","[-0.9932814836502075,-0.16421565413475037,-0.8064432740211487]","[0.9932814836502075,0.16421565413475037,0.8064432740211487]",dzobj_pmqhvum59l,c_branches_deciduous_summer.p3d,exact_image,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_branches_deciduous_summer.p3d.jpg,Raw P3D,"[1.986562967300415,0.32843130826950073,1.6128865480422974]"
dzobj_vnona3fz78,branches_picea_summer,Config,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_branches_picea_summer.p3d.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[1.9643399715423584,0.19779005646705627,1.9642856121063232]","[-0.9821699857711792,-0.09889502823352814,-0.9821428060531616]","[0.9821699857711792,0.09889502823352814,0.9821428060531616]",dzobj_cg42tlmydz,c_branches_picea_summer.p3d,exact_image,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_branches_picea_summer.p3d.jpg,Raw P3D,"[1.9643399715423584,0.19779005646705627,1.9642856121063232]"
dzobj_8eckapo6qi,branchesBig_picea_summer,Config,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_branchesbig_picea_summer.p3d.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[3.139694929122925,0.5504651069641113,3.033200263977051]","[-1.5698474645614624,-0.27523255348205566,-1.5166001319885254]","[1.5698474645614624,0.27523255348205566,1.5166001319885254]",dzobj_zc4d5vgmgb,c_branchesbig_picea_summer.p3d,exact_image,dz/plants_bliss/clutter,images/plants_bliss/clutter/c_branchesbig_picea_summer.p3d.jpg,Raw P3D,"[3.139694929122925,0.5504651069641113,3.033200263977051]"
