id,objectName,modelType,path,image,category,searchTags,dimensionsSource,baseVariantKey,pathFamily,candidateStatus,candidateMethod,candidateConfidence,candidateCount,donorId,donorObjectName,donorPath,donorImage,donorDimensionsVisual,notes
dzobj_71bqfflp8p,AK_Suppressor,Config,dz/weapons/attachments/muzzle,images/weapons/attachments/muzzle/ak_suppressor.jpg,weapons,"silenced, AK, ak47, ak74, 5.45x39, 7.62x39, 7.62x54mmr",estimated_tags,ak suppressor,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_45d9zrfmg9,AK_WoodBttstck,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_woodbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak woodbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_9l9n7giq57,AK_WoodBttstck_Black,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_woodbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak woodbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ijq2wogavh,AK_WoodBttstck_Camo,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_woodbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak woodbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_0609ibruzx,AK_WoodHndgrd,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_woodhndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak woodhndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_7by4ww3v4d,AK_WoodHndgrd_Black,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_woodhndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak woodhndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_jpsxdqb1pz,AK_WoodHndgrd_Camo,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_woodhndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak woodhndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_nr198n2v8z,AK74,Config,dz/weapons/firearms/ak101,images/weapons/firearms/ak74.jpg,weapons,"AK, machine_gun, automatic, 5.45x39",estimated_tags,ak74,dz/weapons/firearms,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_w2xcf9mxxo,AK74_Black,Config,dz/weapons/firearms/ak101,images/weapons/firearms/ak74.jpg,weapons,"AK, machine_gun, automatic, 5.45x39",estimated_tags,ak74,dz/weapons/firearms,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_69lypqv9ou,AK74_Green,Config,dz/weapons/firearms/ak101,images/weapons/firearms/ak74.jpg,weapons,"AK, machine_gun, automatic, 5.45x39",estimated_tags,ak74,dz/weapons/firearms,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ikkhpojpaq,AK74_Hndgrd,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak74_hndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak74 hndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_tyx427ivof,AK74_WoodBttstck,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak74_woodbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak74 woodbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_uxjgio58le,AKS74U_Bttstck,Config,dz/weapons/attachments/support,images/weapons/attachments/support/aks74u_bttstck.jpg,weapons,kas-74u,estimated_tags,aks74u bttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_0rp300xkzl,AlarmClock_Blue,Config,dz/gear/tools,images/gear/tools/attack_flashlight_heavy2.jpg,gear,"clock, timer",estimated_tags,alarmclock,dz/gear/tools,candidate,base_key_path_family,high,1,dzobj_sl859bywnc,alarmclock.p3d,dz/gear/tools,images/gear/tools/alarmclock.p3d.jpg,"[0.10334713384509087,0.1164441742002964,0.35490332916378975]",Candidate generated by variant-base linking heuristics.
dzobj_sul8u6yuet,AlarmClock_Green,Config,dz/gear/tools,images/gear/tools/attack_flashlight_heavy2.jpg,gear,"clock, timer",estimated_tags,alarmclock,dz/gear/tools,candidate,base_key_path_family,high,1,dzobj_sl859bywnc,alarmclock.p3d,dz/gear/tools,images/gear/tools/alarmclock.p3d.jpg,"[0.10334713384509087,0.1164441742002964,0.35490332916378975]",Candidate generated by variant-base linking heuristics.
dzobj_bye0ws6jsl,AlarmClock_Red,Config,dz/gear/tools,images/gear/tools/attack_flashlight_heavy2.jpg,gear,"clock, timer",estimated_tags,alarmclock,dz/gear/tools,candidate,base_key_path_family,high,1,dzobj_sl859bywnc,alarmclock.p3d,dz/gear/tools,images/gear/tools/alarmclock.p3d.jpg,"[0.10334713384509087,0.1164441742002964,0.35490332916378975]",Candidate generated by variant-base linking heuristics.
dzobj_1yy550bhiy,AliceBag_Black,Config,dz/characters/backpacks,images/characters/backpacks/alice_bag_black.jpg,characters,"backpack, alice, field, military, large, black",estimated_tags,alicebag,dz/characters/backpacks,candidate,sibling_linked_base,high,1,dzobj_trdtu27401,alicebackpack_g.p3d,dz/characters/backpacks,images/characters/backpacks/alice_bag_camo.jpg,"[0.8511051833629608,0.7384095788002014,1.2851938009262085]",Candidate generated by variant-base linking heuristics.
dzobj_v196ova1wd,AliceBag_FarBubble,Config,dz/characters/backpacks,images/characters/backpacks/alice_bag_green.jpg,characters,"backpack, alice, field, military, large, green",estimated_tags,alicebag farbubble,dz/characters/backpacks,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_tw3kbkvex2,AliceBag_Green,Config,dz/characters/backpacks,images/characters/backpacks/alice_bag_green.jpg,characters,"backpack, alice, field, military, large, green",estimated_tags,alicebag,dz/characters/backpacks,candidate,sibling_linked_base,high,1,dzobj_trdtu27401,alicebackpack_g.p3d,dz/characters/backpacks,images/characters/backpacks/alice_bag_camo.jpg,"[0.8511051833629608,0.7384095788002014,1.2851938009262085]",Candidate generated by variant-base linking heuristics.
dzobj_pmpth9yell,AliceBag_NearBubble,Config,dz/characters/backpacks,images/characters/backpacks/alice_bag_green.jpg,characters,"backpack, alice, field, military, large, green",estimated_tags,alicebag nearbubble,dz/characters/backpacks,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ilcgwmxkd2,AmanitaMushroom,Config,dz/gear/food,images/gear/food/amanitamushroom.jpg,gear,"field, food, gear, foraging, woods",estimated_tags,amanitamushroom,dz/gear/food,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_bko8iossxe,Ammo_12gaBeanbag,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_12gabeanbag.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo 12gabeanbag,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_yj8mxtfcb3,Ammo_12gaPellets,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_12gapellets.jpg,weapons,"12ga, ammunition, buckshots, rounds, weapon, weapons",estimated_tags,ammo 12gapellets,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_reyrqdq1gv,Ammo_12gaRubberSlug,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_12garubberslug.jpg,weapons,"12ga, ammunition, rounds, slugs, weapon, weapons",estimated_tags,ammo 12garubberslug,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_02wwin0h43,Ammo_12gaSlug,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_12gaslug.jpg,weapons,"12ga, ammunition, rifled, rounds, slugs, weapon, weapons",estimated_tags,ammo 12gaslug,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_3mj78fkep8,Ammo_22,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_22.jpg,weapons,"ammunition, lr, rounds, weapon, weapons",estimated_tags,ammo 22,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_nnkvx9u37a,Ammo_308Win,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_308win.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo 308win,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_oo40vr7bf9,Ammo_308WinTracer,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_308wintracer.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo 308wintracer,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_gxujh53hjw,Ammo_357,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_357.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo 357,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_xrywwh41si,Ammo_380,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_380.jpg,weapons,"acp, ammunition, rounds, weapon, weapons",estimated_tags,ammo 380,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_p8n57ootxg,Ammo_40mm_Chemgas,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_40mm_chemgas.jpg,weapons,"ammunition, fuel, grenade, po, rounds, station, weapon, weapons",estimated_tags,ammo 40mm chemgas,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_yuvpleaihg,Ammo_40mm_Explosive,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_40mm_explosive.jpg,weapons,"ammunition, grenade, rounds, weapon, weapons",estimated_tags,ammo 40mm explosive,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_tqezynkww8,Ammo_40mm_Smoke_Black,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_40mm_smoke_black.jpg,weapons,"ammunition, effect, particle, rounds, weapon, weapons",estimated_tags,ammo 40mm smoke,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_mwr5s30zno,Ammo_40mm_Smoke_Green,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_40mm_smoke_green.jpg,weapons,"ammunition, effect, particle, rounds, weapon, weapons",estimated_tags,ammo 40mm smoke,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_p9xr5d673y,Ammo_40mm_Smoke_Red,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_40mm_smoke_red.jpg,weapons,"ammunition, effect, particle, rounds, weapon, weapons",estimated_tags,ammo 40mm smoke,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_67va4c9r87,Ammo_40mm_Smoke_White,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_40mm_smoke_white.jpg,weapons,"ammunition, effect, particle, rounds, weapon, weapons",estimated_tags,ammo 40mm smoke,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_tnh60zt5p3,Ammo_45ACP,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_45acp.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo 45acp,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_5pxu9681pi,Ammo_545x39,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_545x39.jpg,weapons,"45x39mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 545x39,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_6ac6w7s1za,Ammo_545x39Tracer,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_545x39tracer.jpg,weapons,"45x39mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 545x39tracer,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ra7x90p8ud,Ammo_556x45,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_556x45.jpg,weapons,"56x45mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 556x45,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_wrx5449yfi,Ammo_556x45Tracer,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_556x45tracer.jpg,weapons,"56x45mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 556x45tracer,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_zwn64w5it9,Ammo_762x39,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_762x39.jpg,weapons,"62x39mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 762x39,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ck2i2710xk,Ammo_762x39Tracer,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_762x39tracer.jpg,weapons,"62x39mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 762x39tracer,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_58x1dun1c0,Ammo_762x54,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_762x54.jpg,weapons,"62x54mmr, ammunition, rounds, weapon, weapons",estimated_tags,ammo 762x54,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ngq24lg0ut,Ammo_762x54Tracer,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_762x54tracer.jpg,weapons,"62x54mmr, ammunition, rounds, weapon, weapons",estimated_tags,ammo 762x54tracer,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_yvegxcax2b,Ammo_9x19,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_9x19.jpg,weapons,"9x19mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 9x19,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_8irnwt1dvt,Ammo_9x39,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_9x39.jpg,weapons,"9x39mm, ammunition, rounds, weapon, weapons",estimated_tags,ammo 9x39,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_v35ynqq8ai,Ammo_9x39AP,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_9x39ap.jpg,weapons,"9x39mm, ammunition, armor, piercing, rounds, weapon, weapons",estimated_tags,ammo 9x39ap,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_lg8qsx2hbn,Ammo_CupidsBolt,Config,dz/weapons/projectiles,images/weapons/projectiles/ammo_cupidsbolt.jpg,weapons,"ammunition, cupid, projectiles, rounds, weapon, weapons",estimated_tags,ammo cupidsbolt,dz/weapons/projectiles,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_mnv1j9trm4,Ammo_Flare,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_flare.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo flare,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_av5i890sb9,Ammo_FlareBlue,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_flareblue.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo flareblue,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ekwnvt59ks,Ammo_FlareGreen,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_flaregreen.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo flaregreen,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_cvuemxfcbh,Ammo_FlareRed,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_flarered.jpg,weapons,"ammunition, rounds, weapon, weapons",estimated_tags,ammo flarered,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_w2cmjgc8in,Ammo_GrenadeM4,Config,dz/weapons/explosives,images/weapons/explosives/ammo_grenadem4.jpg,weapons,"ammunition, explosives, m4, rounds, weapon, weapons",estimated_tags,ammo grenadem4,dz/weapons/explosives,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_wpc86h0f5f,Ammo_HuntingBolt,Config,dz/weapons/projectiles,images/weapons/projectiles/ammo_huntingbolt.jpg,weapons,"ammunition, projectiles, rounds, weapon, weapons",estimated_tags,ammo huntingbolt,dz/weapons/projectiles,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_bhb6hh1lj8,Ammo_ImprovisedBolt_1,Config,dz/weapons/projectiles,images/weapons/projectiles/ammo_improvisedbolt_1.jpg,weapons,"ammunition, projectiles, rounds, weapon, weapons",estimated_tags,ammo improvisedbolt 1,dz/weapons/projectiles,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_n2eeqm4hvi,Ammo_ImprovisedBolt_2,Config,dz/weapons/projectiles,images/weapons/projectiles/ammo_improvisedbolt_2.jpg,weapons,"ammunition, projectiles, rounds, weapon, weapons",estimated_tags,ammo improvisedbolt 2,dz/weapons/projectiles,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_sy9crqugzc,Ammo_LAW_HE,Config,dz/weapons/launchers/law,images/weapons/launchers/law/ammo_law_he.jpg,weapons,"ammunition, launchers, m72, rounds, warhead, weapon, weapons",estimated_tags,ammo law he,dz/weapons/launchers,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_818n43jz85,Ammo_RPG7_AP,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_rpg7_ap.jpg,weapons,"7v, ammunition, pg, rounds, warhead, weapon, weapons",estimated_tags,ammo rpg7 ap,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_12xlqlmsvt,Ammo_RPG7_HE,Config,dz/weapons/ammunition,images/weapons/ammunition/ammo_rpg7_he.jpg,weapons,"7v, ammunition, pg, rounds, warhead, weapon, weapons",estimated_tags,ammo rpg7 he,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_l6qzowjihj,AmmoBox,Config,dz/gear/containers,images/gear/containers/ammobox.jpg,gear,"ammunition, containers, crate, gear, rounds, storage, military, combat, guns",estimated_tags,ammobox,dz/gear/containers,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_z3e716pkf4,AmmoBox_00buck_10rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_00buck_10rnd.jpg,weapons,"12ga, ammunition, boxed, buckshots, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 00buck 10rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_fplpj28skt,AmmoBox_12gaBeanbag_10Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_12gabeanbag_10rnd.jpg,weapons,"ammunition, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 12gabeanbag 10rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_6428szob9b,AmmoBox_12gaRubberSlug_10Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_12garubberslug_10rnd.jpg,weapons,"12ga, ammunition, boxed, crate, rounds, slugs, storage, weapon, weapons",estimated_tags,ammobox 12garubberslug 10rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_wkasitikyp,AmmoBox_12gaSlug_10Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_12gaslug_10rnd.jpg,weapons,"12ga, ammunition, boxed, crate, rifled, rounds, slugs, storage, weapon, weapons",estimated_tags,ammobox 12gaslug 10rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_1xtp58eexy,AmmoBox_22_50Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_22_50rnd.jpg,weapons,"ammunition, boxed, crate, lr, rounds, storage, weapon, weapons",estimated_tags,ammobox 22 50rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_rcdd4l7mt6,AmmoBox_308Win_20Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_308win_20rnd.jpg,weapons,"ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 308win 20rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_2m7kvabh3z,AmmoBox_308WinTracer_20Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_308wintracer_20rnd.jpg,weapons,"ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 308wintracer 20rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_q2gpthyvvv,AmmoBox_357_20Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_357_20rnd.jpg,weapons,"ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 357 20rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_lqp783btmh,AmmoBox_380_35rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_380_35rnd.jpg,weapons,"acp, ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 380 35rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_mdmze29mmz,AmmoBox_45ACP_25rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_45acp_25rnd.jpg,weapons,"ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 45acp 25rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_isehnqfiy9,AmmoBox_545x39_20Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_545x39_20rnd.jpg,weapons,"45x39mm, ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 545x39 20rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_kbi6z89orb,AmmoBox_545x39Tracer_20Rnd,Config,dz/weapons/ammunition,images/weapons/ammunition/ammobox_545x39tracer_20rnd.jpg,weapons,"45x39mm, ammunition, boxed, crate, rounds, storage, weapon, weapons",estimated_tags,ammobox 545x39tracer 20rnd,dz/weapons/ammunition,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
