class_name,file_path,model_type,proposed_tags
gasmask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
gasmask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
gasmask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
gp5gasmask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
gp5gasmask_filter.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
gp5gasmask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
gp5gasmask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
hoxtonmask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
hoxtonmask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
hoxtonmask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
mimemask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
mimemask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
mimemask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
mouth_rags.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
nioshfacemask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
nioshfacemask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
nioshfacemask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
santasbeard_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
santasbeard_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
santasbeard_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
surgical_mask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
surgical_mask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
surgical_mask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
vintagehockeymask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
vintagehockeymask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
vintagehockeymask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
welding_mask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
welding_mask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
welding_mask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
wolfmask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
wolfmask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
wolfmask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
MimeMask_Female,database/characters/masks/objects.json,Config,"characters, face, masks, protection, creepy"
MaleLegs_Base,database/characters/pants/objects.json,Config,"characters, pants, shorts, underwear, bodies, player, pc"
FemaleLegs_Base,database/characters/pants/objects.json,Config,"characters, pants, shorts, underwear, bodies, player, pc"
Jeans_Black,database/characters/pants/objects.json,Config,"characters, pants, clothing, clothes"
Jeans_Blue,database/characters/pants/objects.json,Config,"characters, pants, clothing, clothes"
Jeans_BlueDark,database/characters/pants/objects.json,Config,"characters, pants, clothing, clothes"
Jeans_Brown,database/characters/pants/objects.json,Config,"characters, pants, clothing, clothes"
Jeans_Green,database/characters/pants/objects.json,Config,"characters, pants, clothing, clothes"
Jeans_Grey,database/characters/pants/objects.json,Config,"characters, pants, clothing, clothes"
CargoPants_Beige,database/characters/pants/objects.json,Config,"characters, workware, clothing"
CargoPants_Black,database/characters/pants/objects.json,Config,"characters, workware, clothing"
CargoPants_Blue,database/characters/pants/objects.json,Config,"characters, workware, clothing"
CargoPants_Green,database/characters/pants/objects.json,Config,"characters, workware, clothing"
CargoPants_Grey,database/characters/pants/objects.json,Config,"characters, workware, clothing"
TTSKOPants,database/characters/pants/objects.json,Config,"characters, combat, clothing, clothes, military"
HunterPants_Autumn,database/characters/pants/objects.json,Config,"characters, hunting, woodsman, weather, trail"
HunterPants_Brown,database/characters/pants/objects.json,Config,"characters, hunting, woodsman, weather, trail"
HunterPants_Spring,database/characters/pants/objects.json,Config,"characters, hunting, woodsman, weather, trail"
HunterPants_Summer,database/characters/pants/objects.json,Config,"characters, hunting, woodsman, weather, trail"
HunterPants_Winter,database/characters/pants/objects.json,Config,"characters, hunting, woodsman, weather, trail, snow"
CanvasPants_Beige,database/characters/pants/objects.json,Config,"characters, hiking, clothing, clothes"
CanvasPants_Blue,database/characters/pants/objects.json,Config,"characters, hiking, clothing, clothes"
CanvasPants_Grey,database/characters/pants/objects.json,Config,"characters, hiking, clothing, clothes"
CanvasPants_Red,database/characters/pants/objects.json,Config,"characters, hiking, clothing, clothes"
CanvasPants_Violet,database/characters/pants/objects.json,Config,"characters, hiking, clothing, clothes"
CanvasPantsMidi_Beige,database/characters/pants/objects.json,Config,"characters, crop, hiking, clothing, clothes"
CanvasPantsMidi_Blue,database/characters/pants/objects.json,Config,"characters, crop, hiking, clothing, clothes"
CanvasPantsMidi_Grey,database/characters/pants/objects.json,Config,"characters, crop, hiking, clothing, clothes"
CanvasPantsMidi_Red,database/characters/pants/objects.json,Config,"characters, crop, hiking, clothing, clothes"
CanvasPantsMidi_Violet,database/characters/pants/objects.json,Config,"characters, crop, hiking, clothing, clothes"
TrackSuitPants_Black,database/characters/pants/objects.json,Config,"characters, tracksuit, clothing, clothes"
TrackSuitPants_Blue,database/characters/pants/objects.json,Config,"characters, tracksuit, clothing, clothes"
TrackSuitPants_Green,database/characters/pants/objects.json,Config,"characters, tracksuit, clothing, clothes"
TrackSuitPants_LightBlue,database/characters/pants/objects.json,Config,"characters, tracksuit, clothing, clothes"
TrackSuitPants_Red,database/characters/pants/objects.json,Config,"characters, tracksuit"
GorkaPants_Autumn,database/characters/pants/objects.json,Config,"characters, patrol, combat, military"
GorkaPants_Flat,database/characters/pants/objects.json,Config,"characters, patrol, combat, military"
GorkaPants_PautRev,database/characters/pants/objects.json,Config,"characters, patrol, combat, military"
GorkaPants_Summer,database/characters/pants/objects.json,Config,"characters, patrol, combat, military"
GorkaPants_Winter,database/characters/pants/objects.json,Config,"characters, patrol, combat, military, clothing, clothes"
PolicePants,database/characters/pants/objects.json,Config,"characters, law enforcement, workware, clohthing, clothes"
PolicePantsOrel,database/characters/pants/objects.json,Config,"characters, law enforcement, workware, clohthing, clothes"
ParamedicPants_Blue,database/characters/pants/objects.json,Config,"characters, ambulance, workware, clothing, clothes"
ParamedicPants_Crimson,database/characters/pants/objects.json,Config,"characters, ambulance, workware, clothing, clothes, hospital"
ParamedicPants_Green,database/characters/pants/objects.json,Config,"characters, ambulance, workware, clothing, clothes, hospital"
FirefightersPants_Beige,database/characters/pants/objects.json,Config,"characters, firefighter,  workware, clothing, clothes, fire"
FirefightersPants_Black,database/characters/pants/objects.json,Config,"characters, firefighter,  workware, clothing, clothes, fire"
PrisonUniformPants,database/characters/pants/objects.json,Config,"characters, prisoner, gulag, inmate, clothing, clothes"
LeatherPants_Beige,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
LeatherPants_Black,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
LeatherPants_Brown,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
LeatherPants_Natural,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
MedicalScrubsPants_Blue,database/characters/pants/objects.json,Config,"characters, health, hospital, scrub, workware, ambulance, clothing, clothes"
MedicalScrubsPants_Green,database/characters/pants/objects.json,Config,"characters, health, hospital, scrub, workware, ambulance, clothing, clothes"
MedicalScrubsPants_White,database/characters/pants/objects.json,Config,"characters, health, hospital, scrub, workware, ambulance, clothing, clothes"
USMCPants_Desert,database/characters/pants/objects.json,Config,"characters, cuu, combat, military, clothing, clothes"
USMCPants_Woodland,database/characters/pants/objects.json,Config,"characters, cuu, combat, military, clothing, clothes"
OMKPants_Navy,database/characters/pants/objects.json,Config,"characters, cuu, combat, military, clothing, clothes"
BDUPants,database/characters/pants/objects.json,Config,"characters, cuu, combat, military, clothing, clothes"
JumpsuitPants_Blue,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
JumpsuitPants_Green,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
JumpsuitPants_Grey,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
JumpsuitPants_Red,database/characters/pants/objects.json,Config,"characters, clothing, clothes"
LegsCover_Improvised,database/characters/pants/objects.json,Config,"characters, pants, wrapping, rags, clothing, clothes"
Chainmail_Leggings,database/characters/pants/objects.json,Config,"characters, pants, medieval, castle, armour, armor"
MaleLegsAbove,database/characters/pants/objects.json,Config,"characters, pants, shorts, underwear, player, pc, bodies"
FemaleLegsAbove,database/characters/pants/objects.json,Config,"characters, pants, shorts, underwear, player, pc, bodies"
bdu_pants_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
bdu_pants_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
bdu_pants_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
breechesf_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
breechesf_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
breechesf_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
canvaspants_long_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
canvaspants_long_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
canvaspants_long_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
canvaspants_midi_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
canvaspants_midi_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
canvaspants_midi_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
cargopants_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
cargopants_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
cargopants_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
chainmail_leggings_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
chainmail_leggings_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
chainmail_leggings_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
firefighter_pants_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
firefighter_pants_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
firefighter_pants_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
gorka_pants_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
gorka_pants_g.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
gorka_pants_m.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
hunterpants_f.p3d,database/characters/pants/objects.json,Raw P3D,[ MATCH TO CONFIG]
